{'batch_size': 32, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.2112384223001743, 'val_RMSE': 0.8238028233774847}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.20886084886493805, 'val_RMSE': 0.8244021830323597}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.23696763542202923, 'val_RMSE': 0.8280567925495043}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.25098413412073906, 'val_RMSE': 0.8291939069274165}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.20774106766936817, 'val_RMSE': 0.8296528424295332}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.2582404670948255, 'val_RMSE': 0.8315568763618121}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.26273882493428957, 'val_RMSE': 0.8330985998696097}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.2474949024113034, 'val_RMSE': 0.8338143837165582}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.2996002695945878, 'val_RMSE': 0.833997756544273}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 1e-05, 'train_RMSE': 0.2661697351521729, 'val_RMSE': 0.8360404495120305}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.32710910489201556, 'val_RMSE': 0.836057121534076}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.2810479653590663, 'val_RMSE': 0.8363234386545765}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.2377393418309071, 'val_RMSE': 0.8371261558049662}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.2647730320733428, 'val_RMSE': 0.8398919603196311}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.30146306421681723, 'val_RMSE': 0.8404747329158588}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.21960965209225938, 'val_RMSE': 0.8408260913361971}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.24840349221380323, 'val_RMSE': 0.8416799814184114}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 1e-05, 'train_RMSE': 0.5152429975349242, 'val_RMSE': 0.8427854284563406}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.26311604548277256, 'val_RMSE': 0.8438318153503407}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.293991054624236, 'val_RMSE': 0.8460668079989881}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.31527678189368125, 'val_RMSE': 0.8471645406111876}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.3124318945038287, 'val_RMSE': 0.8495890384532737}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.2753426149684855, 'val_RMSE': 0.8504546523223722}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.42160462683416455, 'val_RMSE': 0.8512875038336802}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.2790028902065358, 'val_RMSE': 0.8531502772393905}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.3085438823196277, 'val_RMSE': 0.8537197690069495}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 1e-05, 'train_RMSE': 0.7178955127875014, 'val_RMSE': 0.8542173516833963}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.26667545833581785, 'val_RMSE': 0.855210812807445}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.30103447126730215, 'val_RMSE': 0.8566745223857324}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 0.01, 'train_RMSE': 0.555000715749395, 'val_RMSE': 0.8587670617849674}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.26426724852476446, 'val_RMSE': 0.8589867279799337}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.6585475596318531, 'val_RMSE': 0.8591907863976816}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.32452339368306454, 'val_RMSE': 0.8593778208785148}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.2233439117991519, 'val_RMSE': 0.8622758336656045}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.2814095423460943, 'val_RMSE': 0.8630759434176654}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.22709072120409196, 'val_RMSE': 0.8632624989819142}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 1e-05, 'train_RMSE': 0.2933229281515804, 'val_RMSE': 0.8633785527565218}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.23395518909318783, 'val_RMSE': 0.8656539931654018}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.25755707156552327, 'val_RMSE': 0.8683317509454871}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.30696153218001565, 'val_RMSE': 0.8691656061967088}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.3353867368094378, 'val_RMSE': 0.8720258502968884}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.22145859517990268, 'val_RMSE': 0.8730864870180486}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.24532327743322835, 'val_RMSE': 0.877612200826214}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 0.01, 'train_RMSE': 0.5617478244706968, 'val_RMSE': 0.8779613962495167}
{'batch_size': 128, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.20972980507097622, 'val_RMSE': 0.8830184621216678}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.24771137979946956, 'val_RMSE': 0.8834859794915244}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.2529710164882363, 'val_RMSE': 0.8861206497954147}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.7374545127599215, 'val_RMSE': 0.8920289389936104}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.24829247156292167, 'val_RMSE': 0.8963085969626179}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.24767445694372345, 'val_RMSE': 0.903003837675005}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.01, 'train_RMSE': 0.4874026959528635, 'val_RMSE': 0.9037661618213745}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.24995872470955163, 'val_RMSE': 0.9113478277362353}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.01, 'train_RMSE': 0.2967835878708061, 'val_RMSE': 0.9163036576948526}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.30650800422192453, 'val_RMSE': 0.9181144105989631}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 0.01, 'train_RMSE': 0.3309245251783617, 'val_RMSE': 0.919769426065502}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.2781300755377157, 'val_RMSE': 0.9198944914477764}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.6524949581426903, 'val_RMSE': 0.9225129298017168}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.3835547323959663, 'val_RMSE': 0.9253343652518088}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.6272238890320495, 'val_RMSE': 0.9289479906242896}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.3744009091518194, 'val_RMSE': 0.9391471686677032}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.01, 'train_RMSE': 0.4699812499160543, 'val_RMSE': 0.9562398934418738}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 0.01, 'train_RMSE': 0.4441053341072594, 'val_RMSE': 0.9593515431901621}
